repo,doi,pmid,grant_funded,funding_sources,num_linked_grants,num_developer_grants,num_collaborator_grants,developer_project_nums,developer_core_nums,developer_orgs,developer_org_states,developer_agencies,developer_cost_by_currency,developer_cost_usd,all_org_names,all_agencies,total_cost_by_currency,total_cost_usd,earliest_project_start,latest_project_end,note
mahmoodlab/CLAM,10.1038/s41551-020-00682-w,33649564,True,NIH,2,1,1,2R35GM138216-06,R35GM138216,"BROAD INSTITUTE, INC.",MA,NIGMS,USD:275000,275000.0,"HARVARD MEDICAL SCHOOL; BROAD INSTITUTE, INC.",NHGRI; NIGMS,USD:916456,916456.0,2001-09-30T00:00:00,2030-08-31T00:00:00,OK
MannLabs/alphaquant,10.1101/2025.03.06.641844,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
MannLabs/alpharaw,10.1016/j.mcpro.2021.100149,34543758,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
MannLabs/alphamap,10.1093/bioinformatics/btab674,34586352,True,Other,2,1,1,191046,,Institution abroad - Germany,,Other,CHF:92400,,Institution abroad - Germany,Other,CHF:92400,,2020-02-01 00:00:00,2022-01-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
MannLabs/pydiaid,10.1016/j.mcpro.2022.100279,35944843,True,Other,1,1,0,412136960,,,,Other,EUR:879533,,,Other,EUR:879533,,2019-01-01 00:00:00,2023-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
MannLabs/alphatims,10.1016/j.mcpro.2021.100149,34543758,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
markmikkelsen/Gannet,10.1002/jmri.24478,25548816,True,NIH,6,0,6,,,,,,,,JOHNS HOPKINS UNIVERSITY; HUGO W. MOSER RES INST KENNEDY KRIEGER,NINDS; NIMH; NIBIB,USD:3518543,3518543.0,2000-07-01T00:00:00,2027-03-31T00:00:00,OK
MattWillFlood/EntropyHub,10.1371/journal.pone.0259448,34735497,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
MAVIS-SLAM/OpenMAVIS,10.1109/ICRA57147.2024.10609982,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
mbezaire/ca1,10.1007/s10827-016-0623-7,27629590,True,NIH,4,0,4,,,,,,,,YALE UNIVERSITY,NLM; NCRR; NIDCD,USD:3406249,3406249.0,1987-07-01T00:00:00,2027-06-30T00:00:00,OK
mechmotum/symbrim,10.59490/6504c5a765e8118fc7b106c3,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
med-air/SurRoL,10.1126/scirobotics.adt3093,40668896,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
MehmetAzizYirik/MAYGEN,10.1186/s13321-021-00529-9,34217353,True,Other,6,5,1,INST 275/363-1 FUGG; INST 275/334-1; INST 275/363-1; 275/334-1; INST 275/334-1 FUGG,,,,Other,,,Friedrich-Schiller-Universität Jena,Other,EUR:4287725,,2014-01-01 00:00:00,2014-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
Merck/BioPhi,10.1080/19420862.2021.2020203,35133949,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
MetabolicAtlas/MetabolicAtlas,10.1093/nar/gkaf1053,41171142,True,Other,7,0,7,,,,,,,,,Other,GBP:1626234,,2024-05-31 00:00:00,2029-05-30 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
mHealthGroup/MIMSunit,10.1123/jmpb.2018-0068,34308270,True,NIH; Other,3,1,2,5U01HL091737-04,U01HL091737,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,NHLBI,USD:950745,950745.0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY; JOHNS HOPKINS UNIVERSITY,NHLBI; Other,USD:958220,958220.0,1996-07-10T00:00:00,2012-05-31T00:00:00,OK
mhesselbarth/Hesselbarth-etal-2021-CLER,10.1007/s40823-021-00067-y,,True,Other,2,1,1,NE/T009373/1,,,,Other,GBP:347830,,,Other,GBP:347830,,2020-05-31 00:00:00,2024-05-30 00:00:00,OK
MICA-MNI/ENIGMA,10.1038/s41592-021-01186-4,34194050,True,NIH; Other,11,4,7,FDN-154298; 178175; Discovery-1304413; PJT-174995,,Institution abroad - Canada,,Other,CHF:64100,,"WASHINGTON UNIVERSITY; UNIVERSITY OF SOUTHERN CALIFORNIA; UNIVERSITY OF CALIFORNIA, SAN DIEGO; EMORY UNIVERSITY; UNIVERSITY OF CALIFORNIA LOS ANGELES; Institution abroad - Canada",NIMH; NIBIB; NINDS; Other,USD:8626334; CHF:64100,8626334.0,2010-07-01T00:00:00,2028-12-31T00:00:00,OK
MichaelVorndran/CellLocator,10.1101/2023.03.24.534081,,True,Other,4,2,2,GA1641/7-1; SFB1403,,,,Other,,,Universität zu Köln,Other,EUR:3298250,,2020-01-01 00:00:00,2020-12-31 00:00:00,OK
microsoft/P.808,10.1145/3308560.3317084,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
MiguelMValero/CONES,10.1016/j.compfluid.2023.106118,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
MiKatt/openSTARS,10.1371/journal.pone.0239237,32941523,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
MikeHeiber/Excimontec,10.21105/joss.02307,,True,Other,1,0,1,,,,,,,,,Other,USD:24946158,24946157.74,2014-01-01 00:00:00,2019-06-30 00:00:00,OK
mir-group/allegro,10.1038/s41467-023-36329-y,36737620,True,NSF; Other,20,12,8,DE-AC05-00OR22725; under Contract DE-AC05-00OR22725; DE-SC0022199; DE-AR0000775; DE-AC02; AC02-06CH11357; 06CH11357; DE-SC0012573; SC0021110; 00OR22725; AC05-00OR22725; DE-AC05,,,,Other,,,Harvard University,NSF; Other,USD:17850000,17850000.0,2020-09-01 00:00:00,2026-08-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
mir-group/flare,10.1038/s41524-020-0283-z,,True,NSF; Other,4,2,2,DE-FG02-97ER25308; DE-FG02,,,,Other,,,Harvard University,NSF; Other,USD:52333495,52333495.0,1997-06-16 00:00:00,2021-09-30 00:00:00,OK
MISP/MISP,10.1145/2994539.2994542,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
MIT-PSFC/disruption-py,10.21105/joss.09364,,True,Other,2,2,0,SC0014264; DE-SC0014264,,,,Other,,,,Other,,,,,OK
